id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	áudio	áudio2	áudio3	X	created_at
47	aerega	aeɾega	LEX	cérebro, tutano, medula óssea						aerega.webm			X	13/04/2026
52	aia 2	aia	LEX	círculo, centro da cabeça, circunferência; redondo						aiare.wav			X	13/04/2026
60	aiarewu	aiaˈɾew	LEX	redondo						aiarewu.wav			X	13/04/2026
62	aidu	aidːɯ	LEX	vontade, intenção, querer, desejo, amor, afeto, desejar, gostar, estimar, amar						aidu.webm			X	13/04/2026
4588	aimo	aimːo	LEX	banhar-se	emode taimo = ele vão vbanhar-se					taimo.webm			x	13/04/2026
78	aiwo	aiwo	LEX	olhada, visão, observação; olhar, ver, observar	akaiwo pemegado iquera ji ardiwawo					aiwo.webm			x	13/04/2026
90	aka1	ˈaka	LEX	novo, coisa nova ou gente nova						aka.wav			x	13/04/2026
91	aka2	ˈaka	S	variedade de gambá						aka.wav			x	13/04/2026
92	aka3	ˈaka	S	fígado (fígado)	itaga = meu fígado	fígado	https://pt.wikipedia.org/wiki/Fígado#/media/Ficheiro:Leber_Schaf.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Leber_Schaf.jpg/960px-Leber_Schaf.jpg	É a maior glândula e o maior órgão maciço do corpo humano.	aka.wav			x	13/04/2026
	akadado ji	akadado dʒi								akadadoji.webm			x	13/04/2026
110	akedudo	akeˈdːudːʌ	LEX	acabar, dar fim	ire imaragadae akedudo = eu terminei meu trabalho					akedudo.webm			x	13/04/2026
129	akigu kodu	akigu kodu	LEX	algodão						akigudodu.webm			x	13/04/2026
	akirimi	akiɾimi	LEX	voltar						akirimi.webm			x	13/04/2026
137	akirodo	akiɾodːʌ	LEX	trocar, comprar, vender						akirodoJi.wav			x	13/04/2026
142	ako 2	ako 2	LEX	voz, fala, súplica, canto, resposta, som; falar, dizer, responder, declarar, cantar, soar, tocar						ako.webm			x	13/04/2026
	ako jodo	ako dʒodo								akojodo.webm			x	13/04/2026
	akododu	akododu								akododu.webm			x	13/04/2026
190	akudo	akudːʌ	VC	limpar, varrer, esfriar						akudo.webm			x	13/04/2026
213	amirewu	amiˈɾew	S	pão, bolo						amirewu.wav			X	13/04/2026
214	amo (pl. amoe)	amːo	LEX	tapiti, roedor, coelho						amo.wav			X	13/04/2026
